大白菜,0.4,0.45,0.5,2022-08-04 00:00:00
娃娃菜,0.6,0.7,0.8,2022-08-04 00:00:00
小白菜,0.7,0.85,1.0,2022-08-04 00:00:00
圆白菜,0.6,0.8,1.0,2022-08-04 00:00:00
紫甘蓝,1.0,1.1,1.2,2022-08-04 00:00:00
芹菜,0.7,0.95,1.2,2022-08-04 00:00:00
西芹,1.8,2.0,2.2,2022-08-04 00:00:00
菠菜,1.8,2.05,2.3,2022-08-04 00:00:00
莴笋,0.6,0.8,1.0,2022-08-04 00:00:00
团生菜,0.8,1.0,1.2,2022-08-04 00:00:00
散叶生菜,1.2,1.35,1.5,2022-08-04 00:00:00
罗马生菜,1.2,1.35,1.5,2022-08-04 00:00:00
油菜,1.2,1.4,1.6,2022-08-04 00:00:00
香菜,2.5,3.0,3.5,2022-08-04 00:00:00
茴香,1.5,2.0,2.5,2022-08-04 00:00:00
韭菜,1.5,1.75,2.0,2022-08-04 00:00:00
苦菊,2.0,2.4,2.8,2022-08-04 00:00:00
油麦菜,2.0,2.25,2.5,2022-08-04 00:00:00
散菜花,1.2,1.35,1.5,2022-08-04 00:00:00
绿菜花,0.8,1.05,1.3,2022-08-04 00:00:00
